NumDrones,AverageTime,MinTime,MaxTime,PrintTime,BubbleSortTime
100,5789,2890,4240,78114,250889.98
200,10404,3668,3950.9998,66874,939508
300,7757,5683,6931,61184.996,2035459
400,9104,6696,7248.0005,63736,3301477
500,9770,8008,8154,72243,5513574
600,10186,9894,9976,61064,8393957
700,13259,11651,11642,71024,10525095
800,14639.999,12831,12794,66423,14665230
900,16968,14739,15012,72577,18070272
